"tract_id","n_pings"
"42003010300",27034
"42003020100",80831
"42003020300",20473
"42003030500",4572
"42003040200",6591
"42003040400",3693
"42003040500",9958
"42003040600",1891
"42003040900",17337
"42003050100",2303
"42003050600",2592
"42003050900",1198
"42003051000",2327
"42003051100",621
"42003060300",6814
"42003060500",6960
"42003070300",4749
"42003070500",3736
"42003070600",2960
"42003070800",3849
"42003070900",9340
"42003080200",1353
"42003080400",6328
"42003080600",2486
"42003080700",2458
"42003080900",3376
"42003090100",4718
"42003090200",4832
"42003090300",3393
"42003100500",1252
"42003101100",3467
"42003101400",2842
"42003101600",639
"42003101700",1805
"42003101800",2021
"42003110200",2095
"42003110600",536
"42003111300",2946
"42003111400",2187
"42003111500",10863
"42003120300",1875
"42003120400",1082
"42003120700",2209
"42003120800",3783
"42003130100",1300
"42003130200",1179
"42003130300",2007
"42003130400",1667
"42003130600",2586
"42003140100",5786
"42003140200",4573
"42003140300",3785
"42003140400",2941
"42003140500",3490
"42003140600",2984
"42003140800",5097
"42003141000",1278
"42003141100",4683
"42003141300",5532
"42003141400",9721
"42003151600",5023
"42003151700",10473
"42003160800",3046
"42003160900",14498
"42003170200",16119
"42003170600",5930
"42003180300",4236
"42003180700",2345
"42003190300",6577
"42003191100",11407
"42003191400",6120
"42003191500",5838
"42003191600",9748
"42003191700",4134
"42003191800",2628
"42003191900",2569
"42003192000",3740
"42003202200",1471
"42003202300",18488
"42003210700",1782
"42003220600",2774
"42003240600",12033
"42003241200",761
"42003250300",706
"42003250700",1176
"42003250900",4301
"42003260200",4477
"42003260700",1741
"42003260900",3082
"42003261200",2938
"42003261400",2230
"42003261500",2349
"42003262000",9247
"42003270100",4723
"42003270300",1623
"42003270400",1296
"42003270800",905
"42003271500",2401
"42003281400",2589
"42003281500",2031
"42003290100",3279
"42003290200",2738
"42003290400",3803
"42003300100",2855
"42003310200",2247
"42003310300",596
"42003320400",2742
"42003320600",3586
"42003320700",4753
"42003401100",1312
"42003401200",405
"42003401300",831
"42003402000",391
"42003403500",2064
"42003404000",2273
"42003405000",2092
"42003406000",654
"42003407001",607
"42003407002",1302
"42003408001",2166
"42003408002",1868
"42003409000",8818
"42003410000",274
"42003411000",12359
"42003412001",6252
"42003412002",4856
"42003413100",3880
"42003413201",2821
"42003413202",1566
"42003413300",3962
"42003413400",2600
"42003413500",5576
"42003414101",3453
"42003414102",3653
"42003414200",2744
"42003415001",1370
"42003415002",775
"42003416000",1127
"42003417100",332
"42003417200",642
"42003418000",441
"42003419000",6788
"42003420000",748
"42003421100",7742
"42003421200",3334
"42003422000",2270
"42003423000",3120
"42003424000",6861
"42003425000",7359
"42003426300",1859
"42003426400",2405
"42003426700",3016
"42003426800",2399
"42003427000",8762
"42003427100",1106
"42003427200",5783
"42003428100",235
"42003428200",790
"42003429100",6751
"42003429201",5968
"42003429202",5629
"42003429300",3884
"42003429400",3176
"42003429500",8762
"42003429600",4210
"42003429700",3797
"42003430100",1168
"42003430200",3575
"42003431100",3171
"42003431400",976
"42003431500",4382
"42003432300",1553
"42003432400",2578
"42003434000",1501
"42003435000",2383
"42003437000",8111
"42003439000",263
"42003445500",2756
"42003446000",1178
"42003447000",261
"42003448000",1913
"42003449000",972
"42003450700",2496
"42003450800",1782
"42003451101",3998
"42003451102",4670
"42003451104",1943
"42003451105",8871
"42003451300",20936
"42003452000",102940
"42003453003",4442
"42003453004",15837
"42003455000",598
"42003456001",2413
"42003456003",5326
"42003456004",4001
"42003457100",2026
"42003457200",1705
"42003458000",27207
"42003459101",4366
"42003459102",3571
"42003459201",62933
"42003459202",143
"42003460001",2602
"42003460002",6435
"42003461000",2073
"42003462100",4378
"42003462600",2667
"42003463900",2215
"42003464300",2762
"42003464400",5184
"42003465600",2966
"42003465800",1378
"42003468700",8099
"42003468800",1332
"42003468900",5717
"42003469000",31839
"42003470300",4321
"42003470400",1284
"42003470501",2727
"42003470502",8783
"42003470600",2730
"42003471000",1249
"42003472100",1840
"42003472200",2801
"42003472300",1823
"42003472400",855
"42003473100",4630
"42003473200",2827
"42003473300",3245
"42003473401",2308
"42003473402",2883
"42003473500",4006
"42003473601",2683
"42003473602",1892
"42003474101",2462
"42003474102",3525
"42003474201",1041
"42003474202",2275
"42003474203",1302
"42003475101",4395
"42003475102",860
"42003475200",3067
"42003475301",2041
"42003475303",577
"42003475304",796
"42003475401",4969
"42003475402",1359
"42003476100",4340
"42003476200",2089
"42003477100",2020
"42003477200",3497
"42003477300",4743
"42003478100",5174
"42003478200",3695
"42003479000",1006
"42003480101",4280
"42003480102",570
"42003480200",3717
"42003480300",3601
"42003480400",2118
"42003481000",3169
"42003482500",4114
"42003483800",8736
"42003484300",4406
"42003484500",1071
"42003484600",1327
"42003485000",1918
"42003486700",2487
"42003486800",990
"42003486900",1469
"42003487000",2170
"42003488100",765
"42003488200",3925
"42003488300",1932
"42003488400",1684
"42003488500",7230
"42003488600",7852
"42003489001",4282
"42003489002",2379
"42003490002",2121
"42003490003",2493
"42003490004",769
"42003491101",1609
"42003491200",2246
"42003492700",1195
"42003492800",685
"42003492900",383
"42003494000",324
